feature,importance
ORGANIZATION_TYPE_Kindergarten,9.2
ORGANIZATION_TYPE_Legal Services,1.7999999999999998
ORGANIZATION_TYPE_Medicine,5.800000000000001
ORGANIZATION_TYPE_Military,17.4
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Other,3.8
ORGANIZATION_TYPE_Police,8.4
ORGANIZATION_TYPE_Postal,1.0
ORGANIZATION_TYPE_Realtor,11.4
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Restaurant,2.2
ORGANIZATION_TYPE_School,13.399999999999999
ORGANIZATION_TYPE_Security,1.8000000000000003
ORGANIZATION_TYPE_Security Ministries,10.8
ORGANIZATION_TYPE_Self-employed,18.8
ORGANIZATION_TYPE_Services,2.0
ORGANIZATION_TYPE_Telecom,0.4
ORGANIZATION_TYPE_Trade: type 1,0.4
ORGANIZATION_TYPE_Trade: type 2,6.2
ORGANIZATION_TYPE_Trade: type 3,1.6
ORGANIZATION_TYPE_Trade: type 4,1.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Trade: type 6,2.6
ORGANIZATION_TYPE_Trade: type 7,2.2
ORGANIZATION_TYPE_Transport: type 1,0.6
ORGANIZATION_TYPE_Transport: type 2,2.0
ORGANIZATION_TYPE_Transport: type 3,16.8
ORGANIZATION_TYPE_Transport: type 4,2.2
ORGANIZATION_TYPE_University,3.4000000000000004
ORGANIZATION_TYPE_XNA,0.0
FONDKAPREMONT_MODE_not specified,4.0
FONDKAPREMONT_MODE_org spec account,3.4
FONDKAPREMONT_MODE_reg oper account,2.6
FONDKAPREMONT_MODE_reg oper spec account,3.2
HOUSETYPE_MODE_block of flats,0.6
HOUSETYPE_MODE_specific housing,2.4000000000000004
HOUSETYPE_MODE_terraced house,0.6000000000000001
WALLSMATERIAL_MODE_Block,1.8
WALLSMATERIAL_MODE_Mixed,0.8
WALLSMATERIAL_MODE_Monolithic,1.0
WALLSMATERIAL_MODE_Others,0.6000000000000001
WALLSMATERIAL_MODE_Panel,7.4
"WALLSMATERIAL_MODE_Stone, brick",11.2
WALLSMATERIAL_MODE_Wooden,1.8
EMERGENCYSTATE_MODE_No,0.8
EMERGENCYSTATE_MODE_Yes,0.0
DAYS_EMPLOYED_ANOM,0.0
CREDIT_INCOME_PERCENT,161.20000000000002
ANNUITY_INCOME_PERCENT,173.60000000000002
CREDIT_TERM,849.0
DAYS_EMPLOYED_PERCENT,204.8
